Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,5831.374512,6892.511230,5785.004395,5922.042969,5922.042969,272468247401
2020-03-30,5925.538574,7088.247559,5903.234375,6791.129395,6791.129395,259568096070
2020-04-06,6788.049805,7427.939453,6782.889648,6971.091797,6971.091797,274123270580
2020-04-13,6965.616699,7280.521973,6555.504395,7189.424805,7189.424805,215559694708
2020-04-20,7186.873535,7700.594238,6834.442383,7679.867188,7679.867188,247735013853
2020-04-27,7679.418945,9440.650391,7679.418945,8897.468750,8897.468750,327820350244
2020-05-04,8895.745117,9996.743164,8395.107422,8756.430664,8756.430664,361023995652
2020-05-11,8755.535156,9823.001953,8374.323242,9670.739258,9670.739258,325655447393
2020-05-18,9675.695313,9906.030273,8787.250977,8790.368164,8790.368164,247011272897
2020-05-25,8786.107422,9704.030273,8719.667969,9461.058594,9461.058594,221372861711
2020-06-01,9463.605469,10199.565430,9450.899414,9758.852539,9758.852539,194228716225
2020-06-08,9760.063477,9938.297852,9263.069336,9386.788086,9386.788086,160324519712
2020-06-15,9386.035156,9579.430664,8990.175781,9303.629883,9303.629883,138300100692
2020-06-22,9300.915039,9680.367188,8975.525391,9143.582031,9143.582031,125863637229
2020-06-29,9140.029297,9309.754883,8977.015625,9073.942383,9073.942383,102779717630
2020-07-06,9072.849609,9450.335938,9058.664063,9276.500000,9276.500000,113994286210
2020-07-13,9277.205078,9306.405273,9088.947266,9185.817383,9185.817383,106299733734
2020-07-20,9187.220703,10023.807617,9137.509766,9905.166992,9905.166992,120174678243
2020-07-27,9905.217773,12034.144531,9903.969727,11053.614258,11053.614258,188247005753
2020-08-03,11043.768555,11902.335938,11012.415039,11675.739258,11675.739258,147527884833
2020-08-10,11662.256836,12150.994141,11195.708984,11892.803711,11892.803711,173916901671
2020-08-17,11895.658203,12359.056641,11448.805664,11664.847656,11664.847656,161417688724
2020-08-24,11663.689453,11807.631836,11185.941406,11711.505859,11711.505859,149742951013
2020-08-31,11713.306641,12067.081055,9946.675781,10280.351563,10280.351563,221515306287
2020-09-07,10280.998047,10578.837891,9916.493164,10323.755859,10323.755859,264126813725
2020-09-14,10328.734375,11134.092773,10266.008789,10938.271484,10938.271484,210690462551
2020-09-21,10934.925781,10988.304688,10185.774414,10774.426758,10774.426758,155865499950
2020-09-28,10771.641602,10949.123047,10440.311523,10684.428711,10684.428711,148886727612
2020-10-05,10688.034180,11442.210938,10565.197266,11384.181641,11384.181641,124093265630
2020-10-12,11429.047852,11569.914063,11223.012695,11483.359375,11483.359375,111639885063
2020-10-19,11495.038086,13329.183594,11408.290039,13031.173828,13031.173828,210845277262
2020-10-26,13031.201172,14028.213867,12822.382813,13737.109375,13737.109375,240919962782
2020-11-02,13737.032227,15903.437500,13243.160156,15479.567383,15479.567383,238108964192
2020-11-09,15479.595703,16463.177734,14865.529297,15955.587891,15955.587891,206407256877
2020-11-16,15955.577148,18936.621094,15880.706055,18370.001953,18370.001953,274506990351
2020-11-23,18370.017578,19390.964844,16351.035156,18177.484375,18177.484375,301939363508
2020-11-30,18178.322266,19845.974609,18178.322266,19345.121094,19345.121094,253088772491
2020-12-07,19343.128906,19411.828125,17619.533203,19142.382813,19142.382813,193678842258
2020-12-14,19144.492188,24209.660156,19012.708984,23477.294922,23477.294922,281723269352
2020-12-21,23474.455078,28288.839844,22159.367188,26272.294922,26272.294922,339132207025
2020-12-28,26280.822266,34608.558594,25987.298828,32782.023438,32782.023438,379626054545
2021-01-04,32810.949219,41946.738281,28722.755859,38356.441406,38356.441406,538834804975
2021-01-11,38346.531250,39966.406250,30549.599609,35791.277344,35791.277344,508900951412
2021-01-18,35792.238281,37755.890625,28953.373047,32289.378906,32289.378906,423439379849
2021-01-25,32285.798828,38406.261719,29367.138672,33114.359375,33114.359375,497468344671
2021-02-01,33114.578125,40846.546875,32384.228516,38903.441406,38903.441406,449918619842
2021-02-08,38886.828125,49487.640625,38076.324219,48717.289063,48717.289063,580021243858
2021-02-15,48696.535156,58330.570313,46347.476563,57539.945313,57539.945313,470533297170
2021-02-22,57532.738281,57533.390625,43241.617188,45137.769531,45137.769531,766679775805
2021-03-01,45159.503906,52535.136719,45115.093750,51206.691406,51206.691406,333113779409
2021-03-08,51174.117188,61683.863281,49506.054688,59302.316406,59302.316406,373838576722
2021-03-15,59267.429688,60540.992188,53555.027344,57523.421875,57523.421875,393542542227
2021-03-22,57517.890625,58471.480469,54288.156250,54529.144531,54529.144531,56521454974
2021-03-23,53567.703125,55576.589844,53476.527344,55333.933594,55333.933594,62204801024
